USER_ID,ITEM_ID,TIMESTAMP,,,,,
1,brut_classic,964982703,,,,,
1,campbells_chicken,964981247,,,,,
1,colgate,964982224,,,,,
1,colgate_sensitive,964983815,,,,,
1,crest_3dwhite,964982931,,,,,
1,dove,964982400,,,,,
1,dove_gentleexfoliating,964980868,,,,,
1,eucerin_dailyhydration,964982176,,,,,
1,featherlight_cap,964984041,,,,,
1,fliptop_waterbottle,964984100,,,,,
1,goldfish_cheddar,964983650,,,,,
1,goldfish_grahams,964981208,,,,,
1,greenies,964980985,,,,,
1,kelloggs_cornpops,964981179,,,,,
1,lee_regularfit_blue,964980908,,,,,
1,lee_relaxedfit_beige,964981680,,,,,
1,lee_relaxedfit_black,964982967,,,,,
1,lever_soap,964982310,,,,,
1,lipton_blacktea,964981179,,,,,
1,lipton_matzoball_soupmix,964982563,,,,,
1,milano_darkchoclate,964980962,,,,,
1,monster_drink,964982588,,,,,
1,nescafe_tasterschoice,964981710,,,,,
1,nike_shoe_black,964982363,,,,,
1,nike_shoe_pink,964980868,,,,,
1,olay_regenerist,964981909,,,,,
1,oreo_mini,964982346,,,,,
1,pacific_vegetablebroth,964981208,,,,,
1,pantene_dailymoisture_conditioner,964984002,,,,,
1,pantene_dailymoisture_shampoo,964981179,,,,,
1,quaker_lowersugar,964982653,,,,,
1,quaker_simplygranola,964984153,,,,,
1,quaker_vanillamultigraincereal,964982546,,,,,
1,scotchbrite,964982271,,,,,
1,smartwater,964983793,,,,,
1,starbucks,964982838,,,,,
1,suave_milkhoney,964982931,,,,,
1,suave_wildcherrylotion,964982563,,,,,
1,vaseline_intensivecare,964982838,,,,,
1,velveeta_cheesesauce,964981775,,,,,
1,brut_classic,964982400,,,,,
1,campbells_chicken,964982653,,,,,
1,colgate,964984086,,,,,
1,colgate_sensitive,964980499,,,,,
1,crest_3dwhite,964982475,,,,,
1,dove,964981529,,,,,
1,dove_gentleexfoliating,964982176,,,,,
1,eucerin_dailyhydration,964983614,,,,,
1,featherlight_cap,964983219,,,,,
1,fliptop_waterbottle,964981775,,,,,
1,goldfish_cheddar,964982681,,,,,
1,goldfish_grahams,964982876,,,,,
1,greenies,964982791,,,,,
1,kelloggs_cornpops,964982855,,,,,
1,lee_regularfit_blue,964982903,,,,,
1,lee_relaxedfit_beige,964982653,,,,,
1,lee_relaxedfit_black,964982791,,,,,
1,lever_soap,964981179,,,,,
1,lipton_blacktea,964982400,,,,,
1,lipton_matzoball_soupmix,964980924,,,,,
1,milano_darkchoclate,964981680,,,,,
1,monster_drink,964981327,,,,,
1,nescafe_tasterschoice,964982951,,,,,
1,nike_shoe_black,964984018,,,,,
1,nike_shoe_pink,964983484,,,,,
1,olay_regenerist,964981680,,,,,
1,oreo_mini,964982513,,,,,
1,pacific_vegetablebroth,964981327,,,,,
1,pantene_dailymoisture_conditioner,964981827,,,,,
1,pantene_dailymoisture_shampoo,964981872,,,,,
1,quaker_lowersugar,964981827,,,,,
1,quaker_simplygranola,964983737,,,,,
1,quaker_vanillamultigraincereal,964983250,,,,,
1,scotchbrite,964980499,,,,,
1,smartwater,964982951,,,,,
1,starbucks,964981855,,,,,
1,suave_milkhoney,964983393,,,,,
1,suave_wildcherrylotion,964981909,,,,,
1,vaseline_intensivecare,964981909,,,,,
1,velveeta_cheesesauce,964984018,,,,,
1,brut_classic,964983618,,,,,
1,campbells_chicken,964983723,,,,,
1,colgate,964981442,,,,,
1,colgate_sensitive,964983414,,,,,
1,crest_3dwhite,964983599,,,,,
1,dove,964983705,,,,,
1,dove_gentleexfoliating,964982290,,,,,
1,eucerin_dailyhydration,964983414,,,,,
1,featherlight_cap,964982703,,,,,
1,fliptop_waterbottle,964981909,,,,,
1,goldfish_cheddar,964984086,,,,,
1,goldfish_grahams,964983393,,,,,
1,greenies,964982653,,,,,
1,kelloggs_cornpops,964983017,,,,,
1,lee_regularfit_blue,964982310,,,,,
